year,month,sales
2018,1,25035
2018,2,35965
2018,3,25983
2018,4,31225
2018,5,19361
2018,6,19045
2018,7,22704
2018,8,11505
2018,9,3060
2018,10,8860
2018,11,7970
2018,12,0
2019,1,46630
2019,2,49350
2019,3,42178
2019,4,40543
2019,5,23301
2019,6,37395
2019,7,29404
2019,8,23315
2019,9,24950
2019,10,16585
2019,11,12040
2019,12,1346
2020,1,33555
2020,2,79913
2020,3,47318
2020,4,35754
2020,5,16871
2020,6,15435
2020,7,32526
2020,8,17105
2020,9,24260
2020,10,28526
2020,11,30408
2020,12,30576
2021,1,60628
2021,2,52870
2021,3,50348
2021,4,48844
2021,5,29711
2021,6,37371
2021,7,25640
2021,8,25665
2021,9,0
2021,10,3924
2021,11,11521
2021,12,11816
2022,1,61542
2022,2,52586
2022,3,61096
2022,4,45204
2022,5,29232
2022,6,21408
2022,7,22025
2022,8,12742
2022,9,11168
2022,10,7399
2022,11,23856
2022,12,21716
2023,1,30065
2023,2,31416
2023,3,30165
2023,4,16112
2023,5,20811
2023,6,26571
2023,7,30120
2023,8,27920
2023,9,17240
2023,10,18239
2023,11,20786
2023,12,11780
2024,1,21919
2024,2,22225
2024,3,43550
2024,4,35610
2024,5,19790
2024,6,17220
2024,7,8090
2024,8,4455
2024,9,30
2024,10,0
2024,11,0
2024,12,3688
2025,1,27594
2025,2,37469
2025,3,22861
2025,4,19026
2025,5,9449
2025,6,8983
2025,7,3606
2025,8,4125
2025,9,12740
2025,10,23305
2025,11,22000
2025,12,9565
2026,1,25035
2026,2,31240
2026,3,21438
2026,4,27094
2026,5,14851
2026,6,11795
